canonical_smiles,standard_value,mol
CCOc1ccc(N2CSC3=C(C#N)C(c4ccco4)CC(=O)N3C2)cc1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F610>
CCOc1ccc(NC(=O)c2cc3cc4ccc(OC)cc4nc3o2)cc1,47271.42,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F680>
CCOc1ccc(NC2=NC(=O)S/C2=C\c2ccc(OC)cc2)cc1,18795.51,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F6F0>
CCOc1ccc(Nc2oc(-c3ccccc3Cl)nc2C#N)cc1,9540.57,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F760>
CCOc1ccc2c(Oc3ccc(/C=C/C(=O)O)cc3)c(-c3ccc(OC(F)(F)F)cc3C)c(=O)oc2c1,151.5,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F7D0>
CCOc1ccc2c(c1)CCCC(c1ccccc1)=C2c1ccc(OCCN(C)C)cc1,3.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F840>
CCOc1cccc(-c2nnc3sc(-c4cc(OC)c(OC)c(OC)c4)nn23)c1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F8B0>
CCOc1cccc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)c1,26.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F920>
CCOc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccccc1)O2,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835F990>
CCOc1cccc2cc(-c3cn4cc(C)ccc4n3)c(=O)oc12,3818.74,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FA00>
CCOc1cccc2cc(-c3nnc(NCc4ccco4)s3)c(=O)oc12,26786.91,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FA70>
CCOc1ccccc1/C=c1\sc2nc(-c3ccco3)nn2c1=O,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FAE0>
CCOc1ncc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cc1C,168.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FB50>
CCOc1ncc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cc1C(F)(F)F,1249.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FBC0>
CCOc1ncc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cc1Cl,203.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FC30>
CCOc1ncc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cc1F,20.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FCA0>
CCOc1ncc(C2=C(c3ccc(O[C@H]4CCN(CCCF)C4)cc3)c3ccc(O)cc3CCC2)cn1,507.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FD10>
CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,580.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FD80>
CCSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,10.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FDF0>
CCSC1=C(c2ccc(O)cc2)C(=O)c2ccc(O)cc21,480.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FE60>
CCSc1nnc(NC(=O)C2Cc3ccccc3CN2C(=O)c2ccco2)s1,7467.87,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FED0>
CC[C@@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,0.8,<rdkit.Chem.rdchem.Mol object at 0x000001F2C835FF40>
CC[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388040>
CC[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,0.9,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83880B0>
CC[C@@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,146.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388120>
CC[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)ccc(OCCNCCCF)c2C)N1C[C@H](C)C(=O)O,4.9,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388190>
CC[C@@H]1c2cc(O)ccc2O[C@@H](c2ccc(OCCN3CCCCC3)cc2)[C@H]1c1ccc(O)cc1,14.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388200>
CC[C@@]12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,249.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388270>
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nc(F)c3c1C2,50.9,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83882E0>
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,360.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388350>
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2=O,58.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83883C0>
CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nnc3c1C2,1678.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388430>
CC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,1210.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83884A0>
CC[C@@]12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2,1360.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388510>
CC[C@@]12CCC(=O)C(C3CC3)=C1c1ccc3[nH]ncc3c1C2,470.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388580>
CC[C@@]12CCC(=O)C(Cl)=C1c1ccc3[nH]nc(F)c3c1C2,82.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83885F0>
CC[C@@]12CCC(=O)C(Cl)=C1c1ccc3[nH]ncc3c1C2,470.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388660>
CC[C@@]12CCC(=O)C(Cl)=C1c1ccc3[nH]ncc3c1C2=O,139.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83886D0>
CC[C@@]12CCC(=O)C(c3ccccc3)=C1c1ccc3[nH]ncc3c1C2,46.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388740>
CC[C@@]12C[C@@](C)(O)[C@](O)(c3ccccc3)C[C@H]1CCc1cc(O)ccc12,3200.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83887B0>
CC[C@@]12C[C@H](O)[C@](O)(c3ccccc3)C[C@H]1CCc1cc(O)ccc12,3400.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388820>
CC[C@@]12C[C@H](O)[C@](O)(c3ccccc3)C[C@H]1CCc1cc(OCc3cccnc3C)ccc12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388890>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCCN)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,749.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388900>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCCN)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,35.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388970>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C/C=C/C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,390.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83889E0>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C/C=C\C[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,110.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388A50>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)CCCC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388AC0>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,94.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388B30>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,13.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388BA0>
CC[C@H](C)[C@@H]1NC(=O)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)NC(=O)[C@H](CC(C)C)NC1=O,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388C10>
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388C80>
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388CF0>
CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O,1100.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388D60>
CC[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388DD0>
CC[C@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,0.7,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388E40>
CC[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,1.1,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388EB0>
CC[C@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,310.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388F20>
CC[C@](C)(c1ccccc1)[C@@H](c1ccc(O)cc1)c1ccc(OCCCC(=O)O)cc1,6000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8388F90>
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1121.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389000>
CC[C@]12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389070>
CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,2329.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83890E0>
CC[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,2330.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389150>
CC[Si](CC)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,50.85,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83891C0>
CC[Si](CC)(c1ccc(O)cc1)c1ccc(O)cc1,115.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389230>
CCc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,150.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83892A0>
CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,65.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389310>
CCc1c(-c2ccc(O)cc2F)c(=O)oc2cc(O)ccc12,12.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389380>
CCc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,4.7,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83893F0>
CCc1c(O)ccc2c1c(=O)oc1c(C)c(O)ccc12,484.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389460>
CCc1c(O)ccc2c1c(=O)oc1c(F)c(O)ccc12,228.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83894D0>
CCc1c(O)ccc2c1oc(=O)c1c(C)c(O)ccc12,229.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389540>
CCc1c(O)ccc2c1oc(=O)c1cc(Br)ccc12,5460.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83895B0>
CCc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,235.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389620>
CCc1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,1750.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389690>
CCc1cc(-c2ccc(O)cc2)nc2ccc(O)cc12,634.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389700>
CCc1cc(C(CC)(CC)c2ccc(O)c(CC)c2)ccc1O,232.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389770>
CCc1cc(O)cc2c(=O)oc3c(C)c(O)ccc3c12,1780.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83897E0>
CCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,68.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389850>
CCc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,53.3,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83898C0>
CCc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,113.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389930>
CCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,537.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C83899A0>
CCc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,13240.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389A10>
CCc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=S)c12,2260.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389A80>
CCc1cc(OC)cc2c(=O)oc3c(C)c(O)ccc3c12,9830.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389AF0>
CCc1ccc(NC(=O)c2noc3c2CCC3)cc1,7938.99,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389B60>
CCc1ccc(OCCNCCCF)cc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)F,2.6,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389BD0>
CCc1ccc2c(c1)C(c1ccc(OCCN3CCOCC3)cc1)Cc1cc(O)cc(C)c1-2,9.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389C40>
CCc1ccc2nc(NC(=O)c3ccc4c(O)nc(CN5CCOCC5)nc4c3)sc2c1,8229.68,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389CB0>
CCc1ccc2nc(O)c(C3C(C#N)=C(N)Oc4c3ccc3cccnc43)cc2c1,11260.79,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389D20>
CCc1ccc2nc(O)c(CN(Cc3ccc4c(c3)OCO4)C(=O)c3ccco3)cc2c1,26191.67,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389D90>
CCc1cccc(CC)c1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,246.55,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389E00>
CCc1cccc2c(C(=O)Cn3nnc(-c4ccc(OC)c(OC)c4)n3)c[nH]c12,10290.89,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389E70>
CCc1ccccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,18.5,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389EE0>
CCc1ccccc1C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1,93.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389F50>
CCc1ccccc1OS(=O)(=O)C1CC2OC1C(c1ccc(/C=C/c3cc(OC)cc(OC)c3)cc1)=C2c1ccc(O)cc1,3.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8389FC0>
CCc1cn(CCO)c(CC)c1Oc1ccc(C#N)cc1,5000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A030>
CCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,19437.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A0A0>
CCc1nnc(NC(=O)C2Cc3ccccc3CN2S(=O)(=O)c2cccs2)s1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A110>
CCc1nnc2n1N=C(c1ccc(-c3cc(Cl)ccc3Cl)o1)CS2,43982.45,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A180>
CCn1c(SCC(=O)Nc2ccc(NC(=O)c3ccco3)c(OC)c2)nc2ccccc2c1=O,35818.08,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A1F0>
CCn1c(SCC(=O)Nc2ccc3c(c2)c2ccccc2n3CC)nnc1-c1ccco1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A260>
CCn1c(SCC(=O)Nc2ccc3c(c2)c2ccccc2n3CC)nnc1-c1cnccn1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A2D0>
CCn1c(SCC(=O)Nc2ccc3c(c2)oc2ccccc23)nnc1-c1ccc(N)cc1,11721.75,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A340>
CCn1c(SCC(=O)c2ccc(CNC(C)=O)o2)nnc1-c1cccs1,42693.84,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A3B0>
CCn1c2ccccc2c2cc(NC(=O)CSc3nnc(-c4ccc(OC)cc4)n3N)ccc21,12230.2,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A420>
CCn1c2ccccc2c2nnc(SCC(=O)Nc3ccc4c(c3)OCO4)nc21,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A490>
CCn1nc(-c2ccc(O)cc2O)c2ccc(O)cc21,305.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A500>
CCn1nnc(NC(=O)CSc2ccc(Cl)cc2)n1,9268.37,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A570>
CN(/N=C/c1cccnc1)c1cnn(-c2ccc(F)c(Cl)c2)c(=O)c1Cl,17867.63,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A5E0>
CN(C)C(=O)/C=C/c1ccc(N2CCc3cc(O)ccc3C2c2ccccc2)cc1,8.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A650>
CN(C)C(=O)/C=C/c1ccc(S[C@@H]2Cc3cc(O)ccc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)cc1,94.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A6C0>
CN(C)CC(=O)N1CCC2(CC1)C(=O)Nc1cc(/C=C3\c4ccccc4COc4cc(F)ccc43)ccc12,40000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A730>
CN(C)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)c3ccc(N)cc3)cc21.Cl,15578.84,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A7A0>
CN(C)CCCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl,990.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A810>
CN(C)CCN1C(=O)N(C)C2=C(C(=O)c3ccccc32)C1c1ccc(C(F)(F)F)cc1,2090.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A880>
CN(C)CCNC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,2.9,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A8F0>
CN(C)CCOc1ccc(-n2c3c(c4ccc(O)cc4c2=O)C(=O)c2cc(O)ccc2-3)cc1,7600.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A960>
CN(C)CCOc1ccc(/C(=C(/CCC#N)c2ccccc2)c2ccc(O)cc2)cc1,200.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838A9D0>
CN(C)CCOc1ccc(/C(=C(/CCC(F)F)c2ccccc2)c2ccc(O)cc2)cc1.Cl,1700.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AA40>
CN(C)CCOc1ccc(/C(=C(/CCCC#N)c2ccccc2)c2ccc(O)cc2)cc1,25.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AAB0>
CN(C)CCOc1ccc(/C(=C(/CCCCO)c2ccccc2)c2ccc(O)cc2)cc1,79.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AB20>
CN(C)CCOc1ccc(/C(=C(/CCCCl)c2ccccc2)c2ccc(O)cc2)cc1,100.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AB90>
CN(C)CCOc1ccc(/C(=C(/CCCF)c2ccccc2)c2ccc(O)cc2)cc1.Cl,20.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AC00>
CN(C)CCOc1ccc(/C(=C(/CCCN=[N+]=[N-])c2ccccc2)c2ccc(O)cc2)cc1,13.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AC70>
CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(Br)cc2)cc1.Cl,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838ACE0>
CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AD50>
CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838ADC0>
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccc(O)cc2)cc1,4.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AE30>
CN(C)CCOc1ccc(/C(=C(/CCN=[N+]=[N-])c2ccccc2)c2ccc(O)cc2)cc1,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AEA0>
CN(C)CCOc1ccc(/C(=C(/CCO)c2ccccc2)c2ccc(O)cc2)cc1,250.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AF10>
CN(C)CCOc1ccc(C(=C(C#N)c2ccccc2)c2ccccc2)cc1.Cl,86.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AF80>
CN(C)CCOc1ccc(C(=C(C#N)c2cccs2)c2ccc(OCCN(C)C)cc2)cc1,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838AFF0>
CN(C)CCOc1ccc(C23CC4CC(CC(c5ccc(O)cc5)(C4)C2)C3)cc1,1060.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C838B060>
