canonical_smiles,standard_value,mol
C/C=C/[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,1164.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491690>
C/C=C/c1cccc2c(=O)oc3c(C)c(O)ccc3c12,3030.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491700>
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,62000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491770>
C/C=C1/[C@H](O)C[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@]12C,5490.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84917E0>
C/C=C\[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,1956.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491850>
C/C=C\[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,1956.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84918C0>
C/C=C\c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,775.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491930>
C/C=C\c1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,539.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84919A0>
C/N=C1\SC(CC(=O)Nc2ccc(C(C)=O)cc2)C(=O)N1C,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491A10>
C1=C(c2ccccc2)C2(Cc3ccccc3C2)c2ccccc21,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491A80>
C1CCC(c2nn3c(-c4[nH]nc5c4CCC5)nnc3s2)CC1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491AF0>
C=C(C)C(O)Cc1c(O)c(CC=C(C)C)c(O)c2c(=O)c(-c3ccc(O)c(O)c3)coc12,18000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491B60>
C=C(C)C(O)Cc1c(O)c(CC=C(C)C)c2occ(-c3ccc(O)c(O)c3)c(=O)c2c1O,29000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491BD0>
C=C(C)c1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,43968.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491C40>
C=C1C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,640.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491CB0>
C=C1CC[C@@H](O)[C@]2(C)CC[C@@](O)(C(C)C)[C@H](O)[C@@H]12,2800000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491D20>
C=CC(=O)N1CCN(c2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)c(F)c2)CC1,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491D90>
C=CCC(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](CC=C)NC(=O)[C@@H](N)CCCNC(=N)N)[C@@H](C)CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NC(CC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491E00>
C=CCC1(C)Oc2c(ccc(O)c2C)-c2c(C)cc(O)c(C)c21,157.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491E70>
C=CCCC[C@](C)(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1cnc[nH]1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@](C)(CCCC=C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O,1200.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491EE0>
C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,1000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491F50>
C=CCN1CC(Oc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3CC(C)(C)F)c(F)c2)C1,0.15,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8491FC0>
C=CCNc1nc(-c2cccc(OC)c2O)nc2ccccc12,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492030>
C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84920A0>
C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21.Cl,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492110>
C=CCOc1ccc(CC2C(=O)N(C)C(=O)N(C)C2=O)cc1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492180>
C=CCSC1=N/C(=C\C=C\c2ccco2)C(=O)S1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84921F0>
C=CCSCC1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,2000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492260>
C=CC[C@@H]1C2=CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]2(C=C)CC[C@@H]1O,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84922D0>
C=CC[C@@]12CC[C@](O)(C#CC)C[C@H]1CCc1cc(O)ccc12,93.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492340>
C=CC[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,1738.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84923B0>
C=CCc1cc(C)cc2c(=O)oc3c(C)c(O)ccc3c12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492420>
C=CCc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,1100.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492490>
C=CCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,727.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492500>
C=CCc1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,98.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492570>
C=CCn1c(=O)[nH]c2cc(C(=O)N3CCN(c4ccc(C(C)=O)cc4)CC3)ccc2c1=O,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84925E0>
C=CCn1c(=O)c(C#N)cc2c(=O)n3ccccc3nc21,44689.26,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492650>
C=CCn1c(COc2cccc(C)c2)nnc1SCC(=O)NC(=O)NCc1ccco1,14821.67,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84926C0>
C=CCn1c(SCC(=O)NC(=O)NCc2ccco2)nc2sc(CC)cc2c1=O,10088.75,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492730>
C=CCn1c(SCC(=O)NC2CCCCC2)nnc1C(C)NC(=O)c1cccs1,50000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84927A0>
C=CCn1nc(-c2ccc(O)cc2C)c2cccc(C(F)(F)F)c21,59.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492810>
C=CCn1nc(-c2ccc(O)cc2O)c2cccc(C(F)(F)F)c21,696.5,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492880>
C=C[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C=C,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84928F0>
C=C[C@H]1OC2(CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C=C,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492960>
C=C[C@]12CCC(=C)C=C1CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C84929D0>
C=C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492A40>
C=C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492AB0>
C=C[C@]12CCC(C)=CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4380.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492B20>
C=C[C@]12CCC(C)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,1440.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492B90>
C=C[C@]12CCC(CC)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,3110.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492C00>
C=C[C@]12CCC(Cl)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,5740.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492C70>
C=C[C@]12CCC(c3ccccc3)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492CE0>
C=C[C@]12CC[C@@](C)(O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,10000.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492D50>
C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2O,2236.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492DC0>
C=C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@]2(C)O,1053.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492E30>
C=C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1050.0,<rdkit.Chem.rdchem.Mol object at 0x000001F2C8492EA0>
